categoria,rank_medio
0.00a1.50,560
0.00a1.50,564
0.00a1.50,548.33
0.00a1.50,394
0.00a1.50,553
0.00a1.50,563.80
0.00a1.50,538.80
0.00a1.50,563.67
0.00a1.50,563
0.00a1.50,525
0.00a1.50,547
0.00a1.50,564.00
1.51a2.00,554.00
1.51a2.00,559
1.51a2.00,552
1.51a2.00,348
1.51a2.00,351
1.51a2.00,522
1.51a2.00,536.50
1.51a2.00,562
1.51a2.00,473.50
1.51a2.00,561.20
1.51a2.00,535
1.51a2.00,561.00
1.51a2.00,275
1.51a2.00,508
1.51a2.00,321
1.51a2.00,549.40
1.51a2.00,549
1.51a2.00,560.50
1.51a2.00,420
1.51a2.00,441
1.51a2.00,427
1.51a2.00,539
1.51a2.00,558
1.51a2.00,223
1.51a2.00,562.50
1.51a2.00,243
1.51a2.00,457
1.51a2.00,560
1.51a2.00,451
1.51a2.00,528.33
1.51a2.00,432
1.51a2.00,402
1.51a2.00,414
1.51a2.00,281
1.51a2.00,381
1.51a2.00,428
1.51a2.00,313.50
1.51a2.00,515
1.51a2.00,153
1.51a2.00,557
1.51a2.00,372
1.51a2.00,543.00
2.01a2.50,431
2.01a2.50,527
2.01a2.50,348
2.01a2.50,377.20
2.01a2.50,232
2.01a2.50,298
2.01a2.50,357
2.01a2.50,318.67
2.01a2.50,230
2.01a2.50,479
2.01a2.50,188
2.01a2.50,196
2.01a2.50,250
2.01a2.50,515.40
2.01a2.50,212
2.01a2.50,516
2.01a2.50,315
2.01a2.50,430
2.01a2.50,183
2.01a2.50,247
2.01a2.50,263
2.01a2.50,488.00
2.01a2.50,192
2.01a2.50,457
2.01a2.50,326
2.01a2.50,433
2.01a2.50,280
2.01a2.50,187
2.01a2.50,422
2.01a2.50,295
2.01a2.50,442.00
2.01a2.50,331
2.01a2.50,330
2.01a2.50,294
2.01a2.50,218.50
2.01a2.50,251
2.01a2.50,504.00
2.01a2.50,548
2.01a2.50,248
2.01a2.50,107
2.01a2.50,274
2.01a2.50,301
2.01a2.50,448
2.01a2.50,460.80
2.01a2.50,285
2.01a2.50,83
2.01a2.50,423
2.01a2.50,327
2.01a2.50,252
2.01a2.50,305
2.01a2.50,256
2.01a2.50,173
2.01a2.50,459.50
2.01a2.50,276
2.01a2.50,479.50
2.01a2.50,246
2.01a2.50,328
2.01a2.50,251.75
2.01a2.50,81
2.01a2.50,133.00
2.01a2.50,160
2.01a2.50,203
2.01a2.50,325
2.01a2.50,484
2.01a2.50,432.33
2.01a2.50,513.50
2.01a2.50,262
2.01a2.50,335
2.01a2.50,282
2.01a2.50,542.60
2.01a2.50,485
2.01a2.50,417.33
2.01a2.50,490.50
2.01a2.50,437.00
2.01a2.50,510.67
2.01a2.50,333
2.01a2.50,509
2.01a2.50,259.67
2.51a3.00,507.33
2.51a3.00,540
2.51a3.00,517
2.51a3.00,473.60
2.51a3.00,547.00
2.51a3.00,490.33
2.51a3.00,479.20
2.51a3.00,326.00
2.51a3.00,471.80
2.51a3.00,288
2.51a3.00,496.00
2.51a3.00,456.20
2.51a3.00,222.20
2.51a3.00,520
2.51a3.00,563.25
2.51a3.00,492
2.51a3.00,520.50
2.51a3.00,489.67
2.51a3.00,419.67
2.51a3.00,511
2.51a3.00,557.00
2.51a3.00,479
2.51a3.00,501.50
2.51a3.00,399.00
2.51a3.00,477.50
2.51a3.00,506.50
2.51a3.00,499
2.51a3.00,434.80
2.51a3.00,49.50
2.51a3.00,434.00
2.51a3.00,435.20
2.51a3.00,469
2.51a3.00,441.60
2.51a3.00,471
2.51a3.00,500
2.51a3.00,365
2.51a3.00,466.50
2.51a3.00,422.50
2.51a3.00,491
2.51a3.00,442.00
2.51a3.00,206.00
2.51a3.00,439.20
2.51a3.00,399.20
2.51a3.00,470.50
2.51a3.00,523.00
2.51a3.00,430.20
2.51a3.00,481.20
2.51a3.00,421.00
2.51a3.00,423.00
2.51a3.00,458.00
2.51a3.00,456.00
2.51a3.00,474.50
2.51a3.00,509.67
2.51a3.00,175.00
2.51a3.00,450.00
2.51a3.00,227.50
2.51a3.00,477.20
2.51a3.00,416.00
2.51a3.00,469.60
2.51a3.00,436.00
2.51a3.00,433.33
2.51a3.00,473.00
2.51a3.00,499.00
2.51a3.00,424.00
2.51a3.00,524.00
2.51a3.00,499.00
2.51a3.00,428.25
2.51a3.00,473.00
2.51a3.00,479.50
2.51a3.00,182.80
2.51a3.00,456.00
2.51a3.00,474.50
2.51a3.00,537.25
2.51a3.00,496.50
2.51a3.00,163.50
2.51a3.00,485.00
2.51a3.00,522.00
2.51a3.00,446.67
3.01a3.50,204.00
3.01a3.50,90.50
3.01a3.50,436.50
3.01a3.50,432.50
3.01a3.50,297.00
3.01a3.50,77.00
3.01a3.50,371.00
3.01a3.50,86.00
3.01a3.50,207.00
3.01a3.50,257.00
3.01a3.50,280.00
3.01a3.50,270.60
3.01a3.50,113.50
3.01a3.50,224.50
3.01a3.50,534.50
3.01a3.50,148.00
3.01a3.50,297.33
3.01a3.50,354.00
3.01a3.50,240.80
3.01a3.50,114.67
3.01a3.50,350.50
3.01a3.50,135.50
3.01a3.50,102.00
3.01a3.50,311.00
3.01a3.50,230.50
3.01a3.50,86.00
3.01a3.50,219.33
3.01a3.50,55.50
3.01a3.50,211.00
3.01a3.50,174.33
3.01a3.50,195.80
3.01a3.50,305.00
3.01a3.50,190.50
3.01a3.50,189.20
3.01a3.50,375.60
3.01a3.50,183.50
3.01a3.50,285.00
3.01a3.50,258.60
3.01a3.50,236.33
3.01a3.50,217.67
3.01a3.50,115.50
3.01a3.50,26.50
3.01a3.50,268.20
3.01a3.50,168.00
3.01a3.50,337.80
3.01a3.50,169.20
3.01a3.50,245.60
3.01a3.50,155.67
3.01a3.50,283.00
3.01a3.50,323.00
3.01a3.50,255.20
3.01a3.50,389.50
3.01a3.50,559.25
3.01a3.50,190.20
3.01a3.50,214.80
3.01a3.50,68.00
3.01a3.50,170.00
3.01a3.50,263.00
3.01a3.50,144.67
3.01a3.50,99.00
3.01a3.50,274.50
3.01a3.50,398.00
3.01a3.50,126.00
3.01a3.50,199.25
3.01a3.50,115.50
3.01a3.50,261.00
3.01a3.50,244.00
3.01a3.50,402.00
3.01a3.50,148.33
3.01a3.50,251.80
3.01a3.50,240.80
3.01a3.50,221.50
3.01a3.50,276.40
3.01a3.50,158.33
3.01a3.50,253.40
3.01a3.50,288.20
3.01a3.50,228.67
3.01a3.50,179.60
3.01a3.50,53.50
3.01a3.50,192.80
3.01a3.50,132.00
3.01a3.50,292.60
3.01a3.50,169.00
3.01a3.50,109.67
3.01a3.50,234.60
3.01a3.50,176.60
3.01a3.50,544.50
3.01a3.50,228.67
3.01a3.50,389.00
3.01a3.50,150.50
3.51a4.00,259.50
3.51a4.00,160.50
3.51a4.00,13.00
3.51a4.00,12.50
3.51a4.00,146.00
3.51a4.00,420.50
3.51a4.00,403.50
3.51a4.00,284.50
3.51a4.00,392.50
3.51a4.00,414.50
3.51a4.00,84.50
3.51a4.00,359.00
3.51a4.00,73.50
3.51a4.00,131.50
3.51a4.00,150.00
3.51a4.00,121.50
3.51a4.00,199.00
3.51a4.00,335.00
3.51a4.00,530.00
3.51a4.00,108.00
3.51a4.00,301.00
3.51a4.00,267.00
3.51a4.00,142.50
3.51a4.00,208.50
3.51a4.00,324.50
3.51a4.00,234.50
3.51a4.00,311.50
3.51a4.00,337.50
3.51a4.00,84.75
3.51a4.00,266.00
3.51a4.00,112.00
3.51a4.00,79.50
3.51a4.00,370.00
3.51a4.00,51.00
3.51a4.00,63.50
3.51a4.00,196.00
3.51a4.00,234.00
3.51a4.00,366.50
3.51a4.00,106.00
3.51a4.00,172.50
3.51a4.00,155.25
3.51a4.00,536.00
3.51a4.00,429.25
3.51a4.00,209.75
3.51a4.00,325.00
3.51a4.00,271.00
3.51a4.00,402.00
3.51a4.00,33.00
3.51a4.00,393.00
4.01a4.50,346.00
4.01a4.50,283.50
4.01a4.50,11.00
4.01a4.50,8.50
4.01a4.50,63.00
4.01a4.50,378.00
4.01a4.50,515.25
4.01a4.50,215.50
4.01a4.50,31.00
4.01a4.50,419.75
4.01a4.50,248.00
4.01a4.50,123.50
4.01a4.50,238.50
4.01a4.50,395.50
4.01a4.50,278.00
4.01a4.50,441.75
4.01a4.50,185.50
4.01a4.50,171.00
4.01a4.50,213.75
4.01a4.50,445.25
4.01a4.50,433.25
4.01a4.50,115.50
4.01a4.50,132.50
4.01a4.50,242.50
4.01a4.50,90.00
4.01a4.50,115.50
4.01a4.50,238.50
4.01a4.50,79.00
4.01a4.50,230.00
4.01a4.50,140.50
4.01a4.50,198.50
4.01a4.50,218.50
4.01a4.50,90.50
4.01a4.50,282.50
4.01a4.50,85.75
4.01a4.50,450.25
4.01a4.50,382.00
4.01a4.50,216.00
4.01a4.50,173.50
4.01a4.50,237.00
4.01a4.50,233.50
4.01a4.50,206.00
4.01a4.50,115.50
4.01a4.50,168.50
4.01a4.50,274.00
4.01a4.50,383.00
4.01a4.50,446.00
4.01a4.50,229.25
4.01a4.50,228.00
4.01a4.50,125.25
4.01a4.50,200.00
4.01a4.50,411.00
4.01a4.50,127.50
4.01a4.50,248.50
4.01a4.50,179.00
4.01a4.50,56.50
4.01a4.50,215.25
4.01a4.50,442.50
4.01a4.50,344.50
4.01a4.50,151.50
4.01a4.50,76.75
4.01a4.50,126.00
4.01a4.50,61.75
4.01a4.50,257.00
4.01a4.50,205.00
4.01a4.50,122.25
4.01a4.50,135.50
4.01a4.50,65.25
4.01a4.50,190.00
4.01a4.50,182.50
4.51a5.04,122.50
4.51a5.04,197.50
4.51a5.04,204.50
4.51a5.04,212.00
4.51a5.04,438.50
4.51a5.04,209.00
4.51a5.04,199.00
4.51a5.04,376.75
4.51a5.04,23.50
4.51a5.04,386.25
4.51a5.04,379.50
4.51a5.04,291.50
4.51a5.04,225.50
4.51a5.04,307.00
4.51a5.04,129.00
4.51a5.04,268.50
4.51a5.04,217.00
4.51a5.04,174.50
4.51a5.04,242.50
4.51a5.04,411.00
4.51a5.04,211.00
