,AChE,rank_Medio
0,3.29421053144556,402.0
1,2.4818168092206685,510.666666666667
2,2.78669901929862,458.0
3,2.514663687271021,507.333333333333
4,2.543839882872636,490.333333333333
5,2.6279004489996067,489.666666666667
6,2.8388790671252764,433.333333333333
7,2.783540803035092,423.0
8,2.3046848316499915,504.0
9,2.8350906380066263,416.0
10,3.319500522686887,158.333333333333
11,2.503187839354243,259.666666666667
12,3.17540422167082,86.0
13,3.3503142685345013,132.0
14,3.359987359147695,169.0
15,3.253688454893478,170.0
16,3.1800834256448898,211.0
17,3.324938217318057,228.666666666667
18,3.1768023255809843,219.333333333333
19,3.360828491967661,109.666666666667
20,3.299758558942917,148.333333333333
21,3.1565274290042566,102.0
22,2.716903628965445,442.0
23,1.343315763092421,563.666666666667
24,3.230967836612498,155.666666666667
25,1.123585797779066,548.333333333333
26,2.001682942757059,543.0
27,3.232304329304788,323.0
28,2.0753601944207296,318.666666666667
29,2.2812650070696483,442.0
30,3.2147254671886247,217.666666666667
31,2.880774874279705,424.0
32,2.629948580042232,419.666666666667
33,3.2547715071205667,263.0
34,3.133204212903816,114.666666666667
35,3.087961619458274,280.0
36,2.4154855970419438,432.333333333333
37,1.9459361975698664,528.333333333333
38,2.65732260505901,399.0
39,3.2799546091330973,126.0
40,2.590389344583982,496.0
41,3.2601233111231136,144.666666666667
42,1.7935684300689472,561.0
43,2.967376168290229,446.666666666667
44,2.783380688938001,421.0
45,3.4154391093748693,228.666666666667
46,2.473873902917644,417.333333333333
47,3.0860552121377944,257.0
48,2.6802171181102463,434.0
49,2.812620566028731,175.0
50,2.801894435682779,509.666666666667
51,3.182254246344631,174.333333333333
52,3.2640965178106085,99.0
53,3.1137045641358485,297.333333333333
54,3.206323076963325,236.333333333333
