,EcNR,rank_Medio
0,3.3576871953212715,402.0
1,2.5530655868882035,510.666666666667
2,2.819551856529362,458.0
3,2.5818972308737136,507.333333333333
4,2.5956705232603263,490.333333333333
5,2.697362276752026,489.666666666667
6,2.8419239289267577,433.333333333333
7,2.794792361064553,423.0
8,2.479916120370945,504.0
9,2.836286227912537,416.0
10,3.330753470982722,158.333333333333
11,2.602484104972263,259.666666666667
12,3.227144463526204,86.0
13,3.3828911262941284,132.0
14,3.34617425544623,169.0
15,3.288132659658083,170.0
16,3.231272322277693,211.0
17,3.3215146098171044,228.666666666667
18,3.2885124022538017,219.333333333333
19,3.405291808620744,109.666666666667
20,3.309887860936209,148.333333333333
21,3.1902528305407936,102.0
22,2.7530467891897223,442.0
23,1.3197514130849968,563.666666666667
24,3.2496204530828985,155.666666666667
25,1.3291399611649015,548.333333333333
26,2.123951833918194,543.0
27,3.1944009566715823,323.0
28,2.0564299189670345,318.666666666667
29,2.161848383762748,442.0
30,3.217410978057261,217.666666666667
31,2.83654569941149,424.0
32,2.6688137403325127,419.666666666667
33,3.316616316011173,263.0
34,3.240836836990652,114.666666666667
35,3.182453535308989,280.0
36,2.5197873843410195,432.333333333333
37,1.8522789977321448,528.333333333333
38,2.6924873870793484,399.0
39,3.224825526892072,126.0
40,2.4613794111342555,496.0
41,3.1323602644247384,144.666666666667
42,1.7614300524153808,561.0
43,2.890950365262376,446.666666666667
44,2.759183802291882,421.0
45,3.222938740810458,228.666666666667
46,2.3496107536648454,417.333333333333
47,3.099647218216523,257.0
48,2.75569597657814,434.0
49,2.9234049540661484,175.0
50,2.774386203856204,509.666666666667
51,3.324388993617554,174.333333333333
52,3.2997670473154126,99.0
53,3.2453794980928663,297.333333333333
54,3.2058599251549453,236.333333333333
