,GABAaR-Ago,rank_Medio
0,3.205427388334714,402.0
1,2.6259602156387287,510.666666666667
2,2.906815877604336,458.0
3,2.654357751764457,507.333333333333
4,2.6647314800603943,490.333333333333
5,2.75841210874776,489.666666666667
6,2.94033379266471,433.333333333333
7,2.865975809025891,423.0
8,2.478695646037275,504.0
9,2.9384199742592,416.0
10,3.2196034001094107,158.333333333333
11,2.5659702786796244,259.666666666667
12,3.101531594852077,86.0
13,3.25211464495978,132.0
14,3.1849591337933965,169.0
15,3.1674199017578824,170.0
16,3.1044292449128936,211.0
17,3.216588233733304,228.666666666667
18,3.1689264252825606,219.333333333333
19,3.2848865063734425,109.666666666667
20,3.204476500521748,148.333333333333
21,3.071777713093688,102.0
22,2.909422574086379,442.0
23,1.48221335710249,563.666666666667
24,3.1544886129175618,155.666666666667
25,1.5190193962076937,548.333333333333
26,2.4173328956002385,543.0
27,3.0335216307438237,323.0
28,2.3008851843834086,318.666666666667
29,2.374705873486381,442.0
30,3.0850147759928275,217.666666666667
31,2.930900289517828,424.0
32,2.7581596678531435,419.666666666667
33,3.1825124354080465,263.0
34,3.112098421527576,114.666666666667
35,3.123160947114102,280.0
36,2.662168659624361,432.333333333333
37,1.891125142332848,528.333333333333
38,2.796170948022419,399.0
39,3.084026406026705,126.0
40,2.636795213748989,496.0
41,3.008400145030457,144.666666666667
42,1.9323948134961144,561.0
43,2.966793434484338,446.666666666667
44,2.709790262503021,421.0
45,3.2720559598981365,228.666666666667
46,2.3763991559417965,417.333333333333
47,3.0827205344991957,257.0
48,2.7110197338535,434.0
49,2.8149467540372237,175.0
50,2.9226127824694856,509.666666666667
51,3.017445492499472,174.333333333333
52,3.179518601834504,99.0
53,3.134132729538408,297.333333333333
54,3.058742838378354,236.333333333333
