,JHBP,rank_Medio
0,3.8819738702848903,402.0
1,3.635760799645742,510.666666666667
2,4.008641041504569,458.0
3,3.6984362256364136,507.333333333333
4,3.735228684376569,490.333333333333
5,3.80210772421195,489.666666666667
6,4.115791588321473,433.333333333333
7,4.063876164989875,423.0
8,3.274132303751669,504.0
9,4.090684096720185,416.0
10,3.8823652881263606,158.333333333333
11,3.241201676885438,259.666666666667
12,3.73456234157469,86.0
13,3.945714145004508,132.0
14,3.9364467845239863,169.0
15,3.828104095120052,170.0
16,3.716471848088883,211.0
17,3.827148961937364,228.666666666667
18,3.777156370596832,219.333333333333
19,3.945706076442394,109.666666666667
20,3.849435300513341,148.333333333333
21,3.6996199580341553,102.0
22,3.941822160255844,442.0
23,2.522404715474561,563.666666666667
24,3.7660533304253816,155.666666666667
25,1.7542200936166166,548.333333333333
26,2.9169531784367027,543.0
27,3.747869387000481,323.0
28,2.403678341650749,318.666666666667
29,2.9507516061140997,442.0
30,3.6959300907817343,217.666666666667
31,4.138141787145123,424.0
32,3.860432900863099,419.666666666667
33,3.831290565371953,263.0
34,3.753398565320804,114.666666666667
35,3.646112868716732,280.0
36,3.5585912265296304,432.333333333333
37,3.0514034086235293,528.333333333333
38,3.873571088336921,399.0
39,3.5928539901535457,126.0
40,3.8001640214777335,496.0
41,3.56944544836358,144.666666666667
42,3.110690518034984,561.0
43,4.261475263172359,446.666666666667
44,3.882994280428653,421.0
45,4.063935207125658,228.666666666667
46,3.4695941123041405,417.333333333333
47,4.104096237004304,257.0
48,3.7565377862717297,434.0
49,3.2167009539986178,175.0
50,4.054585261769075,509.666666666667
51,3.5667725260814875,174.333333333333
52,3.8310158946076265,99.0
53,3.707290653246084,297.333333333333
54,3.7822045767764423,236.333333333333
