,OctpR-Ant,rank_Medio
0,2.393025388396824,402.0
1,2.6207507846370244,510.666666666667
2,2.703151457461804,458.0
3,2.623117182383892,507.333333333333
4,2.6341513469256856,490.333333333333
5,2.51523337167448,489.666666666667
6,2.7163041388306266,433.333333333333
7,2.6945595975213497,423.0
8,2.236990450758097,504.0
9,2.6974711286704816,416.0
10,2.367399731365321,158.333333333333
11,2.1300170926497497,259.666666666667
12,2.3614901667315484,86.0
13,2.368018777176358,132.0
14,2.410460642596693,169.0
15,2.3632684159710458,170.0
16,2.376605252897257,211.0
17,2.2375847308658523,228.666666666667
18,2.4134809549651166,219.333333333333
19,2.3540384615779444,109.666666666667
20,2.3466851426535564,148.333333333333
21,2.326495148488261,102.0
22,2.477363165953664,442.0
23,1.7100615109849286,563.666666666667
24,2.3038052658263446,155.666666666667
25,1.2685408022735072,548.333333333333
26,1.8845962744177245,543.0
27,2.291218005235412,323.0
28,1.2583263141822305,318.666666666667
29,1.3987391903991666,442.0
30,2.2761594961659,217.666666666667
31,2.465141253717417,424.0
32,2.6482408136811246,419.666666666667
33,2.347105521824098,263.0
34,2.4080188761387324,114.666666666667
35,2.2364151487145003,280.0
36,2.4136722546279668,432.333333333333
37,1.9151227899962944,528.333333333333
38,2.66634703080856,399.0
39,1.797950643136387,126.0
40,1.991902507635643,496.0
41,1.620009056566496,144.666666666667
42,1.940189330383866,561.0
43,2.5181784860498047,446.666666666667
44,2.176806419247197,421.0
45,1.9991085013916587,228.666666666667
46,1.762724618607547,417.333333333333
47,2.708856413328239,257.0
48,2.3477541740503614,434.0
49,1.9157121871322809,175.0
50,2.4961997905550577,509.666666666667
51,2.135629748863578,174.333333333333
52,2.399905180791252,99.0
53,2.375870494959269,297.333333333333
54,2.366078315369628,236.333333333333
