Compound,B dracunculifolia,B retusa,D spathulata,C viminalis,M urundeuva
ZINC968468,0.0000,0.0000,0.0000,0.0000,0.0040
ZINC968230,0.0000,0.0000,0.0000,0.0000,0.0053
ZINC968225,0.0000,0.0000,0.0000,0.0000,0.0153
ZINC967595,0.0000,0.0000,0.0000,0.0635,0.0000
ZINC967582,0.0266,0.1178,0.0000,0.0087,0.0000
ZINC967579,0.0212,0.1386,0.0345,0.1700,0.2260
ZINC967566,0.0000,0.0000,0.0000,0.0010,0.0000
ZINC967513,0.0803,0.0000,0.0308,0.0000,0.2300
ZINC86034080,0.0000,0.0000,0.0000,0.0000,0.3070
ZINC85644544,0.0000,0.0000,0.0000,0.0000,0.0627
ZINC8418983,0.0000,0.0000,0.0000,0.0224,0.0000
ZINC8234293,0.0000,0.0000,0.0000,0.0020,0.0000
ZINC8234282,0.0768,0.2887,0.0384,0.0000,0.0404
ZINC8220462,0.0418,0.0281,0.0203,0.0000,0.0000
ZINC70454368,0.0000,0.0000,0.0000,0.0000,0.0040
ZINC70451257,0.0000,0.0000,0.0000,0.0021,0.0000
ZINC70450851,0.0000,0.0000,0.0000,0.0020,0.0000
ZINC64624831,0.0000,0.0000,0.0000,0.0000,0.0087
ZINC62237753,0.0000,0.0000,0.0000,0.0000,0.0020
ZINC59778864,0.0000,0.0000,0.0000,0.0000,0.0153
ZINC59778407,0.0000,0.0000,0.0000,0.0020,0.0000
ZINC59587341,0.0000,0.0000,0.0000,0.0020,0.0000
ZINC59585923,0.0000,0.0000,0.0000,0.0067,0.0000
ZINC5735752,0.0000,0.0000,0.0000,0.0073,0.0000
ZINC5227717,0.0000,0.0000,0.0000,0.0109,0.0000
ZINC49538669,0.0000,0.0000,0.0000,0.0739,0.0000
ZINC490,0.0000,0.0000,0.0000,0.0000,0.0330
ZINC409176,0.0000,0.0000,0.0000,0.0000,0.0060
ZINC38139375,0.0000,0.0000,0.0216,0.0000,0.0000
ZINC34117700,0.0000,0.0000,0.0000,0.0134,0.0000
ZINC33943706,0.0000,0.0000,0.0000,0.0076,0.0000
ZINC30730221,0.0953,0.1702,0.3826,0.0000,0.0000
ZINC2510193,0.0000,0.0000,0.0000,0.0015,0.0000
ZINC2242633,0.0000,0.0000,0.0000,0.4845,0.0000
ZINC2169363,0.0000,0.0000,0.0000,0.0000,0.0050
ZINC2123310,0.0000,0.0000,0.0000,0.0380,0.0000
ZINC2083320,0.0306,0.0196,0.0000,0.0000,0.0000
ZINC2035755,0.0000,0.0199,0.0000,0.0000,0.0000
ZINC2034639,0.0000,0.0000,0.0000,0.0085,0.0000
ZINC2019619,0.0000,0.0000,0.0000,0.0000,0.3958
ZINC1849759,0.0000,0.0000,0.0000,0.0023,0.0000
ZINC1648304,0.0000,0.0000,0.0000,0.0000,0.0250
ZINC1599725,0.0012,0.0000,0.0000,0.0000,0.0000
ZINC1599359,0.0000,0.0000,0.0000,0.0000,0.2160
ZINC1531618,0.0000,0.0000,0.0424,0.0000,0.0000
ZINC1531550,0.2586,0.0000,0.0000,0.0000,0.0000
ZINC1531148,0.0000,0.0000,0.0000,0.0410,0.0000
ZINC1530331,0.0117,0.0356,0.0505,0.0000,0.0000
ZINC1529230,0.0000,0.0000,0.0000,0.0000,0.0060
ZINC1529210,0.0000,0.0000,0.0000,0.0032,0.0000
ZINC15121415,0.0000,0.0000,0.0000,0.0000,0.2180
ZINC14590585,0.0000,0.0000,0.0000,0.0205,0.0000
ZINC14588411,0.0000,0.0000,0.0000,0.0071,0.0000
ZINC143826668,0.0000,0.0000,0.0000,0.0058,0.0000
ZINC141880133,0.0000,0.0000,0.0000,0.0089,0.0000
ZINC139054025,0.0000,0.0000,0.0000,0.0038,0.0000
ZINC13373002,0.0482,0.0000,0.0000,0.0000,0.0000
ZINC1063075,0.0000,0.0000,0.0000,0.0201,0.0000
ZINC104883029,0.0000,0.0000,0.0000,0.0039,0.0615
ZINC104876494,0.0000,0.0000,0.0000,0.0079,0.0000
ZINC100780735,0.0000,0.0000,0.0000,0.0000,0.0060
ZINC100191743,0.0000,0.0000,0.0000,0.0035,0.0000
ZINC100086523,0.1203,0.0000,0.2369,0.0000,0.0000
